"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"24-Jan-2025","EQ","11,251.00","11,609.70","11,222.40","11,420.90","11,300.00","11,285.85","11,383.23","12,145.35","9,250.00","5,45,939","6,21,45,48,727.30","97,245"
"23-Jan-2025","EQ","10,690.00","11,571.45","10,689.95","10,693.75","11,406.95","11,420.90","11,194.20","12,145.35","9,250.00","15,10,866","16,91,29,29,812.85","1,59,831"
"22-Jan-2025","EQ","10,700.00","10,797.80","10,606.75","10,667.80","10,675.00","10,693.75","10,695.59","12,145.35","9,250.00","2,49,552","2,66,91,06,469.80","45,822"
"21-Jan-2025","EQ","10,677.50","10,968.05","10,642.05","10,624.45","10,668.95","10,667.80","10,797.33","12,145.35","9,250.00","5,93,842","6,41,19,08,549.65","97,398"
"20-Jan-2025","EQ","10,587.40","10,652.80","10,484.25","10,580.00","10,635.00","10,624.45","10,585.92","12,145.35","9,250.00","3,32,061","3,51,51,71,809.20","50,916"
"17-Jan-2025","EQ","10,636.20","10,723.95","10,500.10","10,636.20","10,600.00","10,580.00","10,573.66","12,145.35","9,250.00","2,97,759","3,14,84,03,337.30","59,678"
"16-Jan-2025","EQ","10,590.00","10,807.60","10,550.00","10,521.65","10,650.00","10,636.20","10,660.38","12,145.35","9,250.00","3,75,910","4,00,73,42,447.75","84,589"
"15-Jan-2025","EQ","10,540.00","10,643.40","10,466.75","10,483.75","10,544.40","10,521.65","10,574.75","12,145.35","9,250.00","3,71,459","3,92,80,84,548.55","73,153"
"14-Jan-2025","EQ","10,570.00","10,733.00","10,462.00","10,615.15","10,500.00","10,483.75","10,539.41","12,145.35","9,250.00","3,44,404","3,62,98,13,714.65","59,764"
"13-Jan-2025","EQ","10,700.00","10,830.00","10,593.40","10,865.20","10,614.00","10,615.15","10,685.81","12,145.35","9,250.00","2,25,902","2,41,39,45,662.90","49,750"
"10-Jan-2025","EQ","11,203.25","11,287.25","10,837.55","11,259.80","10,876.00","10,865.20","10,962.53","12,145.35","9,250.00","2,28,618","2,50,62,31,560.45","41,767"
"09-Jan-2025","EQ","11,403.55","11,432.45","11,183.00","11,403.55","11,292.55","11,259.80","11,265.61","12,145.35","9,250.00","1,96,555","2,21,43,10,998.50","57,138"
"08-Jan-2025","EQ","11,618.55","11,629.95","11,370.00","11,618.55","11,370.00","11,403.55","11,466.80","12,145.35","9,250.00","1,59,583","1,82,99,06,196.10","34,437"
"07-Jan-2025","EQ","11,514.95","11,635.15","11,485.15","11,503.60","11,612.95","11,618.55","11,597.40","12,145.35","9,250.00","1,97,212","2,28,71,46,934.00","48,662"
"06-Jan-2025","EQ","11,801.95","11,854.75","11,450.20","11,786.00","11,490.00","11,503.60","11,583.15","12,145.35","9,250.00","1,39,820","1,61,95,56,722.60","43,628"
"03-Jan-2025","EQ","11,799.00","11,861.65","11,713.00","11,797.70","11,755.00","11,786.00","11,783.74","12,145.35","9,250.00","2,37,651","2,80,04,18,574.65","50,087"
"02-Jan-2025","EQ","11,500.00","11,829.15","11,455.05","11,447.00","11,763.80","11,797.70","11,715.92","12,145.35","9,250.00","2,67,609","3,13,52,86,394.40","53,741"
"01-Jan-2025","EQ","11,411.00","11,520.90","11,305.00","11,426.35","11,449.95","11,447.00","11,440.34","12,145.35","9,250.00","1,07,951","1,23,49,95,863.45","33,461"
"31-Dec-2024","EQ","11,270.00","11,465.00","11,194.05","11,288.35","11,415.00","11,426.35","11,380.63","12,145.35","9,250.00","2,41,737","2,75,11,19,155.05","40,335"
"30-Dec-2024","EQ","11,419.45","11,507.65","11,239.70","11,406.55","11,350.00","11,288.35","11,362.32","12,145.35","9,250.00","1,64,726","1,87,16,68,913.65","35,597"
"27-Dec-2024","EQ","11,491.60","11,555.00","11,385.00","11,460.65","11,419.10","11,406.55","11,466.11","12,145.35","9,250.00","1,18,410","1,35,77,02,164.20","28,607"
"26-Dec-2024","EQ","11,390.35","11,799.00","11,334.50","11,390.35","11,438.70","11,460.65","11,426.56","12,145.35","9,250.00","1,44,283","1,64,86,58,231.75","37,280"
"24-Dec-2024","EQ","11,471.00","11,587.05","11,360.00","11,472.60","11,360.05","11,390.35","11,425.54","12,145.35","9,250.00","1,08,000","1,23,39,58,748.35","20,552"
"23-Dec-2024","EQ","11,520.00","11,582.45","11,375.00","11,422.80","11,465.00","11,472.60","11,466.90","12,145.35","9,250.00","1,49,350","1,71,25,81,625.80","32,189"
"20-Dec-2024","EQ","11,664.85","11,748.00","11,397.65","11,670.80","11,460.95","11,422.80","11,476.88","12,145.35","9,250.00","2,99,802","3,44,07,92,001.45","60,732"
"19-Dec-2024","EQ","11,638.00","11,760.00","11,572.05","11,763.95","11,630.00","11,670.80","11,667.75","12,145.35","9,250.00","1,62,249","1,89,30,81,267.70","41,945"
"18-Dec-2024","EQ","11,775.00","11,855.00","11,700.00","11,774.95","11,762.80","11,763.95","11,762.02","12,145.35","9,250.00","2,22,900","2,62,17,53,999.85","37,383"
"17-Dec-2024","EQ","11,930.65","11,974.15","11,683.20","11,942.50","11,768.95","11,774.95","11,816.10","12,145.35","9,250.00","2,44,639","2,89,06,79,402.75","38,738"
"16-Dec-2024","EQ","12,050.00","12,145.35","11,871.00","12,083.90","11,939.95","11,942.50","11,977.91","12,145.35","9,250.00","2,14,946","2,57,46,04,862.40","44,449"
"13-Dec-2024","EQ","11,800.00","12,118.50","11,730.00","11,856.95","12,082.35","12,083.90","11,971.69","12,138.00","9,250.00","4,08,880","4,89,49,82,613.40","79,275"
"12-Dec-2024","EQ","11,944.00","11,944.00","11,790.90","11,898.50","11,800.00","11,856.95","11,868.98","12,138.00","9,250.00","2,47,809","2,94,12,39,222.70","40,992"
"11-Dec-2024","EQ","11,851.00","12,065.00","11,815.30","11,745.80","11,880.00","11,898.50","11,950.80","12,138.00","9,250.00","5,27,029","6,29,84,19,443.05","76,020"
"10-Dec-2024","EQ","11,745.00","11,807.10","11,695.00","11,814.80","11,760.00","11,745.80","11,740.50","12,138.00","9,250.00","2,32,758","2,73,26,95,678.80","49,354"
"09-Dec-2024","EQ","11,858.40","11,890.00","11,718.00","11,848.50","11,795.20","11,814.80","11,798.22","12,138.00","9,250.00","2,68,177","3,16,40,10,014.80","53,921"
"06-Dec-2024","EQ","11,939.00","11,956.35","11,818.00","11,932.80","11,857.90","11,848.50","11,859.69","12,138.00","9,086.15","1,93,324","2,29,27,62,499.85","45,646"
"05-Dec-2024","EQ","11,745.00","12,001.95","11,722.85","11,766.80","11,920.00","11,932.80","11,872.83","12,138.00","9,086.15","4,36,371","5,18,09,59,764.70","84,627"
"04-Dec-2024","EQ","11,866.20","11,920.35","11,748.05","11,852.35","11,750.00","11,766.80","11,833.31","12,138.00","9,086.15","3,06,770","3,63,01,03,120.25","65,045"
"03-Dec-2024","EQ","11,674.75","11,935.00","11,624.95","11,648.55","11,862.20","11,852.35","11,825.06","12,138.00","9,086.15","5,01,811","5,93,39,47,263.15","89,688"
"02-Dec-2024","EQ","11,206.70","11,780.00","11,206.70","11,202.15","11,630.20","11,648.55","11,612.65","12,138.00","9,086.15","6,33,694","7,35,88,69,635.50","93,881"
"29-Nov-2024","EQ","10,915.00","11,233.00","10,915.00","10,997.80","11,188.00","11,202.15","11,147.37","12,138.00","8,588.25","3,67,574","4,09,74,84,116.30","78,390"
"28-Nov-2024","EQ","11,174.00","11,190.00","10,957.60","11,139.90","11,066.00","10,997.80","11,046.26","12,138.00","8,588.25","3,26,140","3,60,26,27,831.00","73,618"
"27-Nov-2024","EQ","11,020.60","11,188.95","10,960.00","11,121.05","11,159.95","11,139.90","11,069.52","12,138.00","8,588.25","3,30,284","3,65,60,84,237.95","50,927"
"26-Nov-2024","EQ","11,457.45","11,497.30","11,106.00","11,457.45","11,110.85","11,121.05","11,195.31","12,138.00","8,588.25","2,43,711","2,72,84,19,474.70","52,276"
"25-Nov-2024","EQ","11,450.00","11,690.00","11,437.25","11,375.30","11,469.80","11,457.45","11,515.59","12,138.00","8,588.25","4,65,057","5,35,54,05,462.55","71,786"
"22-Nov-2024","EQ","10,999.00","11,409.90","10,931.65","10,954.85","11,301.15","11,375.30","11,270.69","12,138.00","8,545.05","3,28,426","3,70,15,86,827.40","71,610"
"21-Nov-2024","EQ","10,555.00","11,005.85","10,555.00","10,769.55","10,952.65","10,954.85","10,862.41","12,138.00","8,545.05","2,56,924","2,79,08,14,082.10","66,891"
"19-Nov-2024","EQ","10,684.05","10,870.00","10,657.90","10,630.90","10,741.00","10,769.55","10,790.68","12,138.00","8,545.05","2,20,357","2,37,78,01,160.85","40,298"
"18-Nov-2024","EQ","10,632.10","10,766.85","10,580.40","10,728.50","10,673.75","10,630.90","10,641.04","12,138.00","8,545.05","4,24,186","4,51,37,81,570.70","60,094"
"14-Nov-2024","EQ","10,726.00","10,832.50","10,542.50","10,782.20","10,720.30","10,728.50","10,716.27","12,138.00","8,545.05","2,97,442","3,18,74,67,831.30","61,004"
"13-Nov-2024","EQ","10,803.30","10,873.50","10,750.00","10,892.00","10,800.00","10,782.20","10,803.96","12,138.00","8,545.05","2,16,900","2,34,33,78,112.30","41,763"
"12-Nov-2024","EQ","10,970.50","11,074.75","10,840.00","10,970.45","10,840.00","10,892.00","10,934.98","12,138.00","8,545.05","1,66,347","1,81,90,00,991.80","42,676"
"11-Nov-2024","EQ","11,015.00","11,109.95","10,896.05","11,043.35","10,961.35","10,970.45","11,003.68","12,138.00","8,545.05","1,07,472","1,18,25,87,670.05","26,170"
"08-Nov-2024","EQ","11,029.10","11,139.35","10,960.70","11,050.80","11,015.00","11,043.35","11,020.53","12,138.00","8,521.20","1,55,894","1,71,80,35,273.20","44,645"
"07-Nov-2024","EQ","11,241.55","11,244.95","11,001.10","11,274.40","11,065.60","11,050.80","11,073.84","12,138.00","8,521.20","3,26,254","3,61,28,83,044.90","59,279"
"06-Nov-2024","EQ","11,225.00","11,306.90","11,112.00","11,176.35","11,241.55","11,274.40","11,213.74","12,138.00","8,521.20","2,82,486","3,16,77,24,530.90","42,856"
"05-Nov-2024","EQ","10,983.65","11,188.05","10,973.25","11,001.85","11,185.00","11,176.35","11,098.28","12,138.00","8,521.20","2,74,422","3,04,56,13,485.80","45,639"
"04-Nov-2024","EQ","11,147.00","11,156.75","10,930.05","11,145.80","11,013.00","11,001.85","11,016.71","12,138.00","8,521.20","2,76,984","3,05,14,52,394.40","48,403"
"01-Nov-2024","EQ","11,079.95","11,171.30","11,078.55","11,065.65","11,111.00","11,145.80","11,141.93","12,138.00","8,197.45","19,032","21,20,53,222.00","4,701"
"31-Oct-2024","EQ","11,156.80","11,250.90","11,042.55","11,205.10","11,076.90","11,065.65","11,109.96","12,138.00","8,197.45","4,23,687","4,70,71,46,468.90","60,372"
"30-Oct-2024","EQ","11,115.00","11,230.00","11,011.40","11,112.10","11,199.10","11,205.10","11,159.72","12,138.00","8,197.45","2,39,933","2,67,75,85,459.45","38,846"
"29-Oct-2024","EQ","11,074.00","11,136.95","10,917.05","11,092.60","11,092.35","11,112.10","11,030.73","12,138.00","8,197.45","2,66,761","2,94,25,67,973.20","40,621"
"28-Oct-2024","EQ","11,000.00","11,199.35","10,899.60","10,995.20","11,099.00","11,092.60","11,080.97","12,138.00","8,197.45","2,29,113","2,53,87,93,645.20","42,543"